lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.001;0.8;0.8;0.0009;64;3;3;tanh;tanh;uniform;0.010921637186150678;0.012257104144069553;4,20E+11;6,38E+10;1.0;1.0;0.0;0.0
0.001;0.3;0.8;0.0009;64;3;3;tanh;tanh;uniform;0.019465103238247527;0.022462516353254608;0.0001348214355998738;0.00015276579031146698;1.0;1.0;0.0;0.0
0.001;0.3;0.3;0.0009;64;3;9;tanh;tanh;uniform;0.01914761771748299;0.023330971513315996;7,05E+09;8,76E+08;1.0;1.0;0.0;0.0
0.001;0.8;0.8;0.0009;64;3;9;tanh;tanh;uniform;0.023633604782743654;0.023900657641224274;0.00029396253821948546;0.00022811428774150854;1.0;1.0;0.0;0.0
0.001;0.3;0.8;0.0009;64;3;9;tanh;tanh;uniform;0.014811040729215526;0.024788926082507583;8,89E+10;0.00047455139017053117;1.0;0.9880952380952381;0.0;0.0002834467120181403
0.001;0.3;0.8;0.0009;64;1;3;tanh;tanh;uniform;0.023081887363156566;0.03159606795330403;1,00E+09;2,36E+11;1.0;1.0;0.0;0.0
0.001;0.3;0.8;0.0009;64;3;9;tanh;sigmoid;uniform;0.009241161486482203;0.03442903006545994;5,99E+06;3,01E+10;1.0;0.9702380952380952;0.0;0.0004960317460317464
0.001;0.8;0.8;0.0009;64;1;9;tanh;tanh;uniform;0.023350703274290032;0.03548901978937548;1,04E+10;3,43E+11;1.0;1.0;0.0;0.0
0.001;0.8;0.3;0.0009;64;3;9;tanh;tanh;uniform;0.020991894990142108;0.037922532163617746;1,84E+10;0.0001991586162261856;1.0;0.9940476190476191;0.0;7,09E+10
0.001;0.3;0.8;0.0009;64;1;9;tanh;tanh;uniform;0.026980892043175702;0.04119027247486173;1,09E+11;9,33E+10;1.0;0.9940476190476191;0.0;7,09E+10
0.001;0.8;0.8;0.0009;64;1;3;tanh;tanh;uniform;0.026623819075090333;0.04494000196888742;2,63E+11;0.0002965065736062259;1.0;0.9880952380952381;0.0;0.0002834467120181403
0.001;0.8;0.8;0.0009;64;3;9;tanh;sigmoid;uniform;0.008525877951148467;0.05750293010098383;6,11E+08;0.0013548383187424594;1.0;0.9404761904761904;0.0;0.0026218820861678006
0.001;0.8;0.8;0.0009;64;1;9;tanh;sigmoid;uniform;0.04180852066594682;0.06520981317531188;1,32E+11;2,62E+11;1.0;0.9821428571428571;0.0;0.000637755102040817
0.001;0.3;0.8;0.0009;64;1;9;tanh;sigmoid;uniform;0.04516959931078404;0.07345741868233767;1,28E+11;7,03E+10;1.0;0.9642857142857143;0.0;0.000637755102040817
0.001;0.3;0.3;0.0009;64;1;9;tanh;tanh;uniform;0.0685912702608799;0.09123312798188953;6,27E+09;5,08E+10;0.9821428571428572;0.9404761904761904;5,31E+10;0.0002834467120181403
0.001;0.8;0.8;0.0009;64;3;3;tanh;sigmoid;uniform;0.05645235903161385;0.09519956438206377;0.0042299045638164515;0.008471796582146173;0.9434523809523809;0.8869047619047619;0.006395266439909293;0.015376984126984123
0.001;0.3;0.3;0.0009;64;1;3;tanh;tanh;uniform;0.06369175901160308;0.10099279508318859;1,68E+10;0.00024531245603643314;0.9880952380952381;0.9464285714285715;7,09E+10;0.0057397959183673455
0.001;0.8;0.3;0.0009;64;3;3;tanh;tanh;uniform;0.09006115767270202;0.103563551290692;0.004515181557751114;0.004183333726939174;0.8363095238095238;0.8154761904761906;0.04795564058956916;0.04513888888888889
0.001;0.8;0.3;0.0009;64;1;3;tanh;tanh;uniform;0.0652686395893996;0.11050604973077065;0.0001696179363853708;0.0008942957458044984;0.9761904761904763;0.875;0.0007617630385487531;0.0065901360544217665
0.001;0.8;0.3;0.0009;64;1;9;tanh;tanh;uniform;0.06127109991798561;0.1118941650283416;2,55E+11;0.00039684649646753127;0.9880952380952381;0.9166666666666666;1,77E+11;0.0019841269841269866
0.001;0.3;0.3;0.0009;64;3;3;tanh;tanh;uniform;0.08422782257096177;0.11911496396112964;0.0020558608863433174;0.005273600435092118;0.9345238095238094;0.8571428571428571;0.0064484126984127;0.0274234693877551
0.001;0.8;0.8;0.0009;64;1;9;sigmoid;tanh;uniform;0.12957277183830565;0.18009862732489465;0.0007243089322625575;0.0010671667609305957;0.8452380952380952;0.7321428571428571;0.0075644841269841305;0.010204081632653062
0.001;0.3;0.8;0.0009;64;1;3;tanh;sigmoid;uniform;0.13828245241382078;0.18927263916946035;0.0002574354286970441;0.0006265866916440448;0.8333333333333334;0.6845238095238094;0.001930980725623581;0.004535147392290245
0.001;0.8;0.8;0.0009;64;1;3;tanh;sigmoid;uniform;0.12751622985843167;0.19439270124768337;0.0007470949517135017;0.0016300745459072394;0.8779761904761906;0.7023809523809524;0.0031001984126984117;0.003472222222222224
0.001;0.3;0.8;0.0009;64;1;9;sigmoid;tanh;uniform;0.11483468862900081;0.20105551584453804;0.0005305096866897257;0.0024028692728035174;0.8720238095238096;0.6607142857142857;0.006076388888888888;0.013605442176870744
0.001;0.8;0.8;0.0009;64;1;3;sigmoid;tanh;uniform;0.17623316152207139;0.20446696167196368;0.0027200549635095117;0.002169771798868531;0.7678571428571428;0.6726190476190476;0.019770408163265307;0.017077664399092966
0.001;0.3;0.8;0.0009;64;3;3;tanh;sigmoid;uniform;0.08526290823180503;0.21163076713915763;0.003830636388222307;0.01167656165156495;0.9136904761904763;0.7261904761904763;0.006395266439909296;0.018353174603174597
0.001;0.8;0.3;0.0009;64;1;9;tanh;sigmoid;uniform;0.18737390041617574;0.2168955676988147;0.00011173069900066469;0.0002122100869365967;0.7142857142857143;0.5952380952380952;0.00037202380952380885;0.0004960317460317464
0.001;0.3;0.3;0.0009;64;1;9;tanh;sigmoid;uniform;0.19484023315401436;0.22118256799215244;0.0002519455456352947;2,03E+11;0.7053571428571429;0.5952380952380952;0.00037202380952380885;0.0034722222222222186
0.001;0.8;0.3;0.0009;64;3;9;tanh;sigmoid;uniform;0.1669269175754565;0.22223088824484002;0.0034412360383330406;0.0027626709211780558;0.7678571428571428;0.636904761904762;0.014243197278911565;0.010487528344671202
0.01;0.3;0.8;0.0009;64;1;3;tanh;tanh;uniform;0.19962886627055898;0.2275725951537526;9,42E+10;0.00026835515247890614;0.6934523809523809;0.6011904761904762;0.010753259637188213;0.00878684807256235
0.01;0.3;0.3;0.0009;64;1;3;sigmoid;tanh;uniform;0.23445808256304446;0.2344051364982436;5,03E+09;1,58E+10;0.625;0.625;5,31E+11;0.00021258503401360657
0.01;0.3;0.8;0.0009;64;3;3;sigmoid;tanh;uniform;0.23489385662235665;0.23465642869595493;2,10E+11;8,77E+10;0.625;0.625;0.0004783163265306128;0.001913265306122451
0.001;0.8;0.8;0.0009;64;3;9;sigmoid;tanh;uniform;0.23784581688986614;0.234953084172961;2,07E+11;0.00013689210491088584;0.625;0.625;0.00037202380952381015;0.0014880952380952395
0.01;0.8;0.3;0.0009;64;3;9;tanh;tanh;uniform;0.23421640664157825;0.23517696602946045;1,07E+11;4,83E+09;0.625;0.625;0.00015943877551020429;0.000637755102040817
0.001;0.3;0.3;0.0009;64;3;9;sigmoid;sigmoid;uniform;0.23418887952864745;0.23538313332503094;1,32E+10;4,71E+09;0.625;0.625;0.00021258503401360657;0.000850340136054421
0.001;0.3;0.8;0.0009;64;3;3;sigmoid;sigmoid;uniform;0.23420737164149039;0.23541307116420515;1,32E+11;4,45E+11;0.625;0.625;0.00021258503401360657;0.000850340136054421
0.01;0.3;0.8;0.0009;64;3;3;sigmoid;sigmoid;uniform;0.23533387180414048;0.23562762107317617;3,19E+10;5,18E+09;0.625;0.625;5,31E+11;0.00021258503401360657
0.001;0.3;0.3;0.0009;64;3;3;sigmoid;tanh;uniform;0.23404447890495542;0.23572603118818755;2,13E+10;8,00E+10;0.625;0.625;0.00037202380952381015;0.001488095238095239
0.01;0.3;0.8;0.0009;64;1;3;sigmoid;sigmoid;uniform;0.2350935540247153;0.23584317710623948;7,67E+08;1,47E+11;0.6249999999999999;0.625;0.00015943877551020426;0.000637755102040817
0.001;0.8;0.3;0.0009;64;3;9;sigmoid;tanh;uniform;0.23591037473328227;0.23585578527044013;1,18E+10;4,16E+09;0.6190476190476191;0.6190476190476191;1,77E+11;7,09E+10
0.001;0.3;0.8;0.0009;64;3;9;sigmoid;sigmoid;uniform;0.23582115747477828;0.23586406393736578;1,04E+10;4,22E+09;0.6190476190476191;0.6190476190476191;1,77E+11;7,09E+10
0.001;0.3;0.3;0.0009;64;3;3;sigmoid;sigmoid;uniform;0.2359801850044667;0.23607338346855236;1,00E+09;3,04E+08;0.6190476190476191;0.6190476190476191;1,77E+11;7,09E+10
0.001;0.8;0.3;0.0009;64;3;9;sigmoid;sigmoid;uniform;0.23572780743078983;0.2363933565879038;7,23E+09;2,75E+11;0.619047619047619;0.6190476190476191;0.0001240079365079365;0.0004960317460317464
0.01;0.8;0.3;0.0009;64;1;3;sigmoid;tanh;uniform;0.2357529943132373;0.23639906037134092;7,40E+09;2,59E+10;0.6190476190476191;0.6190476190476191;0.0001240079365079365;0.0004960317460317464
0.001;0.3;0.3;0.0009;64;3;9;sigmoid;tanh;uniform;0.2356197150453162;0.23644143299416576;2,28E+10;8,87E+10;0.619047619047619;0.6190476190476191;0.0004428854875283437;0.001771541950113379
0.001;0.8;0.3;0.0009;64;3;3;sigmoid;sigmoid;uniform;0.2358051834581474;0.23645051337659648;7,12E+09;2,37E+11;0.619047619047619;0.6190476190476191;0.0001240079365079365;0.0004960317460317464
0.01;0.8;0.8;0.0009;64;1;9;sigmoid;sigmoid;uniform;0.23581494708036357;0.2364591140690854;6,84E+09;2,09E+11;0.6190476190476191;0.6190476190476191;0.0001240079365079365;0.0004960317460317464
0.001;0.8;0.3;0.0009;64;3;3;sigmoid;tanh;uniform;0.23391155512335046;0.23651820257730272;3,00E+11;0.00012249136610332083;0.625;0.625;0.0004783163265306128;0.001913265306122451
0.01;0.3;0.3;0.0009;64;1;3;sigmoid;sigmoid;uniform;0.23633730584344118;0.2365432353661149;2,41E+10;3,85E+09;0.625;0.625;5,31E+11;0.00021258503401360657
0.01;0.3;0.3;0.0009;64;1;3;tanh;tanh;uniform;0.23061750816958412;0.23662340786453195;3,33E+10;7,80E+09;0.6190476190476191;0.6190476190476191;0.00023030045351473912;0.0009212018140589565
0.01;0.3;0.3;0.0009;64;1;9;sigmoid;tanh;uniform;0.23338074189840208;0.23669993232802974;8,09E+10;0.00036960116133962737;0.625;0.625;0.0011160714285714266;0.004464285714285715
0.01;0.8;0.8;0.0009;64;1;3;sigmoid;tanh;uniform;0.23384354109680103;0.2369246223300885;6,95E+09;2,24E+11;0.6190476190476191;0.6190476190476191;0.0001240079365079365;0.0004960317460317464
0.01;0.8;0.3;0.0009;64;3;3;tanh;sigmoid;uniform;0.23576164373473127;0.23718948513445923;1,70E+11;5,54E+10;0.6190476190476191;0.6190476190476191;0.00028344671201814206;0.0011337868480725648
0.01;0.8;0.3;0.0009;64;1;9;sigmoid;sigmoid;uniform;0.23591041295180415;0.2373601103761438;1,69E+11;4,90E+11;0.6190476190476191;0.6190476190476191;0.00028344671201814206;0.0011337868480725648
0.01;0.8;0.3;0.0009;64;3;9;tanh;sigmoid;uniform;0.23574030183562888;0.23742883888281938;1,90E+11;5,61E+11;0.6190476190476191;0.6190476190476191;0.00033659297052154283;0.001346371882086168
0.01;0.3;0.3;0.0009;64;3;9;tanh;tanh;uniform;0.23373766497672455;0.23748376083024111;3,44E+11;0.0001099165897153635;0.625;0.625;0.000637755102040817;0.002551020408163263
0.01;0.8;0.3;0.0009;64;1;3;sigmoid;sigmoid;uniform;0.23419030301014557;0.23748933503248845;3,64E+10;7,72E+10;0.625;0.6249999999999999;0.0006909013605442173;0.0027636054421768708
0.01;0.8;0.8;0.0009;64;1;3;sigmoid;sigmoid;uniform;0.23407226469123307;0.23750112038836602;4,49E+10;0.00013052523786936953;0.625;0.6250000000000001;0.0006909013605442173;0.0027636054421768708
0.01;0.8;0.8;0.0009;64;3;3;tanh;tanh;uniform;0.2337375942283885;0.23752957335808364;4,58E+11;0.00022127513774681452;0.625;0.625;0.000637755102040817;0.002551020408163263
0.01;0.8;0.8;0.0009;64;3;9;sigmoid;sigmoid;uniform;0.23556917536832853;0.23754274160554098;1,99E+10;7,35E+10;0.6190476190476191;0.619047619047619;0.00033659297052154283;0.0013463718820861685
0.01;0.3;0.8;0.0009;64;3;9;sigmoid;sigmoid;uniform;0.23425757792306956;0.2375736054709626;3,14E+10;7,60E+10;0.625;0.625;0.0004783163265306128;0.001913265306122451
0.001;0.8;0.3;0.0009;64;1;3;sigmoid;tanh;uniform;0.2196565809514932;0.23766426534919696;4,92E+09;8,80E+09;0.6071428571428571;0.5773809523809524;0.0004783163265306108;0.0009212018140589565
0.01;0.8;0.8;0.0009;64;3;3;sigmoid;sigmoid;uniform;0.23416925986162637;0.23767773103591872;3,70E+11;7,49E+10;0.625;0.625;0.0006909013605442173;0.0027636054421768708
0.01;0.8;0.3;0.0009;64;1;9;sigmoid;tanh;uniform;0.23407668798455558;0.23777058683718136;5,08E+10;0.00032978509846021223;0.625;0.6250000000000001;0.0006909013605442173;0.0027636054421768708
0.001;0.8;0.3;0.0009;64;1;3;sigmoid;sigmoid;uniform;0.23350267482588205;0.23781423160227222;7,39E+09;3,67E+10;0.6190476190476191;0.6190476190476191;0.00023030045351473912;0.0009212018140589565
0.01;0.3;0.3;0.0009;64;3;9;tanh;sigmoid;uniform;0.23741920006980835;0.23792384516960316;6,62E+09;8,94E+09;0.6250000000000001;0.625;0.00015943877551020426;0.000637755102040817
0.001;0.8;0.3;0.0009;64;1;9;sigmoid;sigmoid;uniform;0.23383181846909729;0.2379336426885351;2,19E+11;9,16E+09;0.6190476190476191;0.619047619047619;0.0004960317460317464;0.001984126984126987
0.01;0.3;0.3;0.0009;64;1;9;tanh;sigmoid;uniform;0.23747677926962074;0.23798455046166822;5,74E+09;5,82E+09;0.6249999999999999;0.625;0.00015943877551020426;0.000637755102040817
0.001;0.3;0.3;0.0009;64;1;3;sigmoid;sigmoid;uniform;0.23134981361299042;0.23814266912840323;2,61E+11;8,72E+10;0.625;0.625;0.00037202380952381015;0.001488095238095239
0.01;0.8;0.8;0.0009;64;1;3;tanh;sigmoid;uniform;0.23524043792190552;0.23818569391438715;3,28E+11;8,11E+10;0.6190476190476191;0.6190476190476191;0.0005491780045351483;0.0021967120181405884
0.01;0.3;0.8;0.0009;64;1;9;sigmoid;sigmoid;uniform;0.23523007311726893;0.2383023512944069;3,78E+10;0.00012104743960527141;0.6190476190476191;0.6190476190476191;0.0006554705215419499;0.0026218820861677998
0.01;0.3;0.8;0.0009;64;1;3;tanh;sigmoid;uniform;0.2347879564879257;0.2385662700821405;7,67E+09;3,61E+10;0.619047619047619;0.6190476190476191;0.0001240079365079365;0.0004960317460317464
0.01;0.3;0.8;0.0009;64;3;3;tanh;sigmoid;uniform;0.23709628446908382;0.23865988077160727;1,91E+11;2,31E+10;0.625;0.625;0.0004783163265306128;0.001913265306122451
0.01;0.8;0.3;0.0009;64;1;9;tanh;sigmoid;uniform;0.23367817736212115;0.23874543429793468;5,07E+10;0.00010347670213470756;0.625;0.625;0.0010097789115646252;0.004039115646258505
0.01;0.8;0.3;0.0009;64;3;3;sigmoid;tanh;uniform;0.235220228345283;0.23875682265405682;3,84E+11;0.00014222728496203631;0.6190476190476191;0.6190476190476191;0.0006554705215419499;0.0026218820861677998
0.01;0.8;0.3;0.0009;64;1;9;tanh;tanh;uniform;0.2301737668896839;0.23896109855177536;7,52E+09;0.00018091429965985355;0.6190476190476191;0.6190476190476191;0.0006554705215419499;0.0026218820861677998
0.01;0.8;0.8;0.0009;64;3;9;tanh;tanh;uniform;0.235176214077678;0.23911302151900302;3,88E+11;0.00016110021917686162;0.6190476190476191;0.6190476190476191;0.0006554705215419499;0.0026218820861677998
0.01;0.3;0.8;0.0009;64;3;3;tanh;tanh;uniform;0.23346073209405827;0.2392178307121465;5,34E+10;0.0002085635992545169;0.625;0.625;0.0010097789115646252;0.004039115646258505
0.001;0.8;0.3;0.0009;64;1;3;tanh;sigmoid;uniform;0.21682869108915515;0.2395721428417855;1,06E+10;8,63E+09;0.6815476190476191;0.5952380952380952;0.0004428854875283437;0.0019841269841269858
0.01;0.8;0.8;0.0009;64;3;3;tanh;sigmoid;uniform;0.23519469530758785;0.23961803225189607;5,60E+10;0.0001986387759154001;0.6190476190476191;0.6190476190476191;0.0008680555555555555;0.0034722222222222225
0.01;0.8;0.3;0.0009;64;1;3;tanh;sigmoid;uniform;0.23518200682128745;0.23975074677908817;5,69E+10;0.00019011267874813404;0.6190476190476191;0.6190476190476191;0.0009212018140589565;0.0036848072562358307
0.001;0.8;0.8;0.0009;64;3;9;sigmoid;sigmoid;uniform;0.23498542328476404;0.23983679690302484;5,83E+11;0.0002740527799108935;0.6190476190476191;0.6190476190476191;0.0008680555555555555;0.0034722222222222225
0.01;0.3;0.8;0.0009;64;1;3;sigmoid;tanh;uniform;0.23069049349547033;0.23994334191383526;5,54E+11;0.00024513416696847495;0.625;0.625;0.0011160714285714266;0.004464285714285715
0.01;0.3;0.3;0.0009;64;3;3;sigmoid;sigmoid;uniform;0.23704049874228714;0.23995767241773133;2,79E+11;2,92E+11;0.6190476190476191;0.6190476190476191;0.0007617630385487519;0.0030470521541950102
0.01;0.8;0.3;0.0009;64;1;3;tanh;tanh;uniform;0.23110288991100505;0.2399721607832874;3,97E+10;0.0001680218043155496;0.6190476190476191;0.6190476190476191;0.0006554705215419499;0.0026218820861677998
0.001;0.3;0.3;0.0009;64;3;3;tanh;sigmoid;uniform;0.2271035933619514;0.24024251544157582;6,09E+11;7,14E+10;0.6220238095238095;0.619047619047619;0.00012400793650793672;0.0013463718820861685
0.01;0.8;0.3;0.0009;64;3;3;sigmoid;sigmoid;uniform;0.23522113319857516;0.240251570116069;5,93E+10;0.00016357029169993583;0.6190476190476191;0.619047619047619;0.0010806405895691592;0.004322562358276643
0.01;0.3;0.8;0.0009;64;3;9;tanh;tanh;uniform;0.2330976682660284;0.2403041551642565;7,42E+09;0.00029485737404418727;0.625;0.625;0.0014349489795918383;0.005739795918367346
0.01;0.3;0.8;0.0009;64;3;9;tanh;sigmoid;uniform;0.2382712234591593;0.24030818372185125;2,35E+10;3,08E+10;0.6190476190476191;0.6190476190476191;0.0006554705215419499;0.0026218820861677998
0.01;0.3;0.3;0.0009;64;1;3;tanh;sigmoid;uniform;0.23826740856939033;0.2403429795100893;2,38E+11;3,07E+10;0.6190476190476191;0.6190476190476191;0.0006554705215419499;0.0026218820861677998
0.001;0.8;0.8;0.0009;64;3;3;sigmoid;tanh;uniform;0.2358545460076185;0.24049458229824713;2,83E+11;2,11E+11;0.619047619047619;0.6190476190476191;0.0004428854875283437;0.001771541950113379
0.01;0.3;0.3;0.0009;64;1;9;sigmoid;sigmoid;uniform;0.2357535253949495;0.24050318976095522;5,54E+10;0.00011804145029944562;0.6190476190476191;0.6190476190476191;0.0010806405895691592;0.004322562358276643
0.001;0.8;0.3;0.0009;64;3;3;tanh;sigmoid;uniform;0.22479805499393637;0.24061856128050682;0.0003371766226202551;9,74E+10;0.6696428571428571;0.625;0.0067495748299319725;0.00021258503401360657
0.01;0.3;0.3;0.0009;64;3;9;sigmoid;sigmoid;uniform;0.23572039188859373;0.24061981555746548;4,49E+09;5,93E+11;0.6190476190476191;0.6190476190476191;0.0011337868480725648;0.004535147392290252
0.01;0.8;0.3;0.0009;64;3;9;sigmoid;sigmoid;uniform;0.23487238974732838;0.2413699749509687;6,72E+10;0.00016454211084835065;0.6190476190476191;0.6190476190476191;0.0013463718820861685;0.005385487528344674
0.01;0.3;0.3;0.0009;64;3;3;tanh;sigmoid;uniform;0.23767148146011777;0.2415258214453202;3,62E+10;3,18E+10;0.6190476190476191;0.6190476190476191;0.0011869331065759647;0.0047477324263038535
0.01;0.3;0.3;0.0009;64;3;3;tanh;tanh;uniform;0.23464077433291528;0.24180454038832414;5,69E+11;0.00017569871070780094;0.619047619047619;0.6190476190476191;0.0011869331065759647;0.0047477324263038535
0.001;0.3;0.3;0.0009;64;1;9;sigmoid;tanh;uniform;0.21338418019680708;0.24201879416497996;7,78E+10;0.00032370052836210787;0.636904761904762;0.5476190476190476;0.0005491780045351459;0.006448412698412696
0.01;0.3;0.8;0.0009;64;1;9;tanh;tanh;uniform;0.2008991775756377;0.24206868333683773;2,58E+10;0.0005960835700284586;0.6755952380952381;0.5595238095238094;1,77E+11;0.0013463718820861646
0.001;0.3;0.8;0.0009;64;1;3;sigmoid;sigmoid;uniform;0.22114278709350424;0.2423962878824898;1,43E+10;2,91E+11;0.625;0.6071428571428572;5,31E+11;0.001913265306122447
0.001;0.8;0.3;0.0009;64;1;9;sigmoid;tanh;uniform;0.21341452270604466;0.24245769698063158;1,59E+11;1,19E+11;0.6160714285714286;0.5535714285714286;0.0;0.008290816326530618
0.01;0.8;0.8;0.0009;64;3;3;sigmoid;tanh;uniform;0.23378812399900492;0.24251031503364676;7,88E+10;0.0003372413843430978;0.625;0.625;0.0010097789115646252;0.004039115646258505
0.01;0.8;0.8;0.0009;64;3;9;tanh;sigmoid;uniform;0.23441305524237163;0.24316354178012234;7,88E+10;0.00016567229289715332;0.6190476190476191;0.6190476190476191;0.0017183956916099767;0.006873582766439907
0.001;0.3;0.3;0.0009;64;1;9;sigmoid;sigmoid;uniform;0.23230141165802257;0.24339774780007692;6,46E+10;0.00021925738219149207;0.619047619047619;0.6190476190476191;0.0013463718820861685;0.005385487528344674
0.001;0.8;0.8;0.0009;64;1;9;sigmoid;sigmoid;uniform;0.22097810327889755;0.24376256472188526;3,14E+10;3,86E+10;0.636904761904762;0.5714285714285715;0.0003365929705215413;0.001488095238095238
0.001;0.8;0.8;0.0009;64;3;3;sigmoid;sigmoid;uniform;0.23246829986853454;0.24379822684207567;0.0001540565806308306;0.0007134076743079103;0.625;0.625;0.0019664115646258504;0.007865646258503401
0.01;0.8;0.3;0.0009;64;3;9;sigmoid;tanh;uniform;0.2345204937377139;0.24406542517867105;9,16E+08;0.00048523168764103925;0.6190476190476191;0.6190476190476191;0.0013995181405895667;0.005598072562358274
0.01;0.3;0.8;0.0009;64;1;9;tanh;sigmoid;uniform;0.23268994013748823;0.24413753629002924;0.00011168739386159571;0.00018518617835181013;0.6190476190476191;0.619047619047619;0.0018246882086167804;0.007298752834467118
0.001;0.3;0.3;0.0009;64;3;9;tanh;sigmoid;uniform;0.21870210735834272;0.24504017744166218;0.00011985666345393265;0.0001600056821625401;0.6577380952380952;0.6011904761904762;0.0027813208616780014;0.0004960317460317464
0.001;0.3;0.8;0.0009;64;3;9;sigmoid;tanh;uniform;0.23691014540061564;0.24517786512159337;7,55E+10;0.0002100030989288075;0.625;0.625;0.000850340136054421;0.003401360544217684
0.001;0.3;0.3;0.0009;64;1;3;sigmoid;tanh;uniform;0.21782775191297601;0.2452759950167375;7,88E+10;0.0004915861837484053;0.6369047619047619;0.5952380952380952;0.0006554705215419499;0.004535147392290252
0.01;0.8;0.8;0.0009;64;3;9;sigmoid;tanh;uniform;0.25051050306115247;0.24616147119736823;0.00016912963264489875;8,16E+09;0.619047619047619;0.6190476190476191;0.0001240079365079365;0.0004960317460317464
0.001;0.8;0.8;0.0009;64;1;3;sigmoid;sigmoid;uniform;0.21951511447083305;0.24668790763319218;9,63E+09;6,47E+09;0.6398809523809524;0.6130952380952381;0.0005491780045351484;0.0004960317460317469
0.01;0.3;0.3;0.0009;64;3;3;sigmoid;tanh;uniform;0.23207194607581264;0.24707755477740267;0.00011726891250017037;0.00043693709300393076;0.625;0.6250000000000001;0.002551020408163263;0.010204081632653064
0.01;0.8;0.8;0.0009;64;1;9;sigmoid;tanh;uniform;0.2523778881166404;0.24736492176499583;0.00039528440010063717;1,06E+11;0.5535714285714285;0.5535714285714285;0.01041666666666667;0.011054421768707483
0.01;0.3;0.3;0.0009;64;3;9;sigmoid;tanh;uniform;0.23725187733724937;0.24737268435221157;4,03E+10;8,55E+09;0.6190476190476191;0.619047619047619;0.0007617630385487519;0.0030470521541950102
0.01;0.8;0.8;0.0009;64;1;9;tanh;sigmoid;uniform;0.2287286604709637;0.24758909619647454;0.00019235481868362975;0.00029718106964817204;0.6250000000000001;0.625;0.0027636054421768708;0.011054421768707483
0.01;0.3;0.8;0.0009;64;3;9;sigmoid;tanh;uniform;0.2539819151672901;0.24979640732122532;0.00016281709211045394;0.00043334975954087705;0.5476190476190476;0.5238095238095238;0.012453939909297053;0.015802154195011336
0.001;0.3;0.8;0.0009;64;3;3;sigmoid;tanh;uniform;0.23237640981757723;0.24980137502245836;0.00016903567151875076;0.0007774589072154408;0.625;0.625;0.0026041666666666665;0.010416666666666666
0.01;0.8;0.8;0.0009;64;1;9;tanh;tanh;uniform;0.2013931894130987;0.25010670759008174;6,95E+10;0.00017192287539620076;0.6488095238095238;0.49404761904761907;1,77E+11;0.001133786848072563
0.01;0.3;0.3;0.0009;64;1;9;tanh;tanh;uniform;0.22365223867927286;0.25023858055823217;6,61E+10;0.00069928637232332;0.625;0.6071428571428572;0.0014880952380952395;0.005952380952380955
0.001;0.3;0.8;0.0009;64;1;9;sigmoid;sigmoid;uniform;0.21837634928045838;0.25077611012742534;5,29E+10;0.0002977790857787496;0.6428571428571429;0.6011904761904762;0.0010097789115646252;0.0004960317460317464
0.01;0.8;0.3;0.0009;64;3;3;tanh;tanh;uniform;0.23102716694957093;0.2511852442798792;0.0002725316528481738;0.0015424046146736625;0.625;0.625;0.00334821428571429;0.013392857142857139
0.001;0.3;0.3;0.0009;64;1;3;tanh;sigmoid;uniform;0.214681126579936;0.2520430835271817;6,72E+10;0.000199654361205036;0.6845238095238094;0.5595238095238094;0.00023030045351474023;0.0009212018140589556
0.01;0.8;0.8;0.0009;64;1;3;tanh;tanh;uniform;0.2055572512167029;0.2594671844192393;1,16E+10;0.0004604328625630912;0.6339285714285715;0.5238095238095238;0.0006909013605442181;0.00219671201814059
0.001;0.3;0.8;0.0009;64;1;3;sigmoid;tanh;uniform;0.18110353372149032;0.2713571315283468;0.000714062086007735;0.0011974280803884365;0.7142857142857144;0.5178571428571428;0.004464285714285715;0.0040391156462585
0.01;0.3;0.8;0.0009;64;1;9;sigmoid;tanh;uniform;0.31132647569067096;0.2957025798407215;0.0013744981854316926;0.0010145535756688575;0.4523809523809524;0.4761904761904762;0.013304280045351469;0.019203514739229034
